accuracy	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	f1-score	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	recall	runtime_error	start_time	time_adjust	time_taken	total_inds	total_time	
0.4998341625207297	10.125148989218621	1559.26	19.998	1463.93	1015.26	9.323674042545148	0.3723037315361523	29	0	1737	20	1719	1193	824	19	408	280	0.5558290155440415	0.5085374936612576	0	1748382744.2644658	0	31.361045598983765	15000	919.88148188591	
0.4998341625207297	10.010406382909936	1556.892	19.996	1459.942	1012.892	9.323674042545148	0.3723037315361523	30	0	1844	20	1831	1300	892	19	501	348	0.5558290155440415	0.5085374936612576	0	1748382744.2644658	0	32.490628242492676	15500	952.3721101284027	
0.5001658374792703	10.26553159073336	1554.116	19.996	1454.974	1010.116	9.31372379378893	0.37248441950798444	31	0	2079	20	2179	1535	856	19	446	312	0.558507242676076	0.5088755599222448	0	1748382744.2644658	0	31.67711329460144	16000	984.0492234230042	
0.5001658374792703	9.916228700225034	1545.57	20.0	1441.958	1001.57	9.31372379378893	0.37248441950798444	32	0	1712	20	1684	1168	1212	20	936	668	0.558507242676076	0.5088755599222448	0	1748382744.2644658	0	29.843642950057983	16500	1013.8928663730621	
0.5008291873963516	9.924101419407574	1544.266	20.0	1439.464	1000.266	9.254022301251615	0.37284568278250396	33	0	1779	20	1772	1235	1212	20	936	668	0.5639963900833466	0.509551692444219	0	1748382744.2644658	0	30.835604429244995	17000	1044.7284708023071	
0.5018242122719735	9.96047286097517	1569.216	20.0	1478.808	1025.216	9.15128604215176	0.3729131863359817	34	0	1731	20	1721	1187	1220	20	947	676	0.5739121475321096	0.5105784366548344	0	1748382744.2644658	0	30.32572293281555	17500	1075.0541937351227	
0.5018242122719735	9.80854424202288	1564.402	19.998	1471.864	1020.402	9.15128604215176	0.3729131863359817	35	0	1868	20	1888	1324	1145	19	890	601	0.5739121475321096	0.5105784366548344	0	1748382744.2644658	0	32.07793211936951	18000	1107.1321258544922	
0.5018242122719735	9.938087438240807	1586.69	19.994	1505.236	1042.69	9.15128604215176	0.3729131863359817	36	0	1774	20	1763	1230	900	19	493	356	0.5739121475321096	0.5105784366548344	0	1748382744.2644658	0	31.296302795410156	18500	1138.4284286499023	
0.5024875621890548	9.996410676377565	1579.694	19.982	1494.596	1035.694	9.091584549614446	0.37327329691089217	37	0	1679	20	1651	1135	565	11	30	21	0.5800109529025193	0.5112545691768087	0	1748382744.2644658	0	31.175934076309204	19000	1169.6043627262115	
0.5024875621890548	9.788885946268106	1580.6	20.0	1495.856	1036.6	9.091584549614446	0.37327329691089217	38	0	2074	20	2164	1530	980	20	656	436	0.5800109529025193	0.5112545691768087	0	1748382744.2644658	0	33.20921349525452	19500	1202.813576221466	
