group_id,timestamp,path_choice,intersect_radius,intersect_centers_x,intersect_centers_y,obstacle_x,obstacle_y,velocity_x,velocity_y,odom_vel,main_path_length,alternative_path_length,direction,collision
1295,25145.52,0,0.3022407293319702,[-0.07157856225967407],[-0.41175878047943115],[-0.0731098207124079],[-0.39483960937225726],[0.012125978559953978],[0.005043312027283003],-0.0361529737710952,2.157197952270508,2.065913915634156,True,False
1295,25147.31,0,0.1792446970939636,[-0.09096117317676544],[0.3746216893196106],[-0.05072568951611656],[0.4853741804873042],[0.025681221848820886],[0.11015034120421872],-0.0869069397449493,1.891984820365905,2.98060941696167,True,False
1296,25280.35,0,0.2796314060688019,[0.07885897159576416],[-0.13872817158699036],[0.17346923704666928],[-0.15239178898288996],[-0.0738897377349972],[-0.017449963001508927],-0.0462977364659309,3.3013319969177246,3.93402624130249,True,False
1296,25283.49,0,0.2796314060688019,[0.07885897159576416],[-0.13872817158699036],[0.17346923704666928],[-0.15239178898288996],[-0.0738897377349972],[-0.017449963001508927],0.1010504141449928,3.35910439491272,3.35910439491272,True,False
1296,25286.89,0,0.2796314060688019,[0.07885897159576416],[-0.13872817158699036],[0.17346923704666928],[-0.15239178898288996],[-0.0738897377349972],[-0.017449963001508927],0.1106048598885536,3.333189010620117,3.333189010620117,True,True
1297,25361.19,0,0.2399240583181381,[0.0977865681052208],[0.2484520673751831],[0.20100565758169475],[0.20328118012516194],[-0.009196704870203042],[0.01936160060427043],-0.1039639934897422,3.1914215087890625,3.2496337890625,True,False
1297,25365.55,0,0.3014958798885345,[-0.2666164040565491],[0.08558616787195206],[-0.27920011732373595],[0.10038855583953105],[-0.004691843708511103],[0.002116664908644731],0.0160308983176946,3.417496919631958,118.98686981201172,True,False
1297,25367.97,0,0.3234023451805115,[0.2291518896818161],[-0.11048883199691772],[0.2385692918483726],[-0.09746202471675613],[-0.010090040238397876],[0.019922584053508337],-0.0476028695702552,3.384333610534668,4.7372212409973145,True,True
1298,25428.93,1,0.1698367446660995,[-0.07086958736181259],[0.07972808927297592],[-0.27339396619913003],[0.13977095300562845],[0.08398828051869883],[-0.008148029248346778],-0.0894744917750358,2.662132024765014,2.932659864425659,False,False
1298,25431.11,0,0.1698367446660995,[-0.07086958736181259],[0.07972808927297592],[-0.27339396619913003],[0.13977095300562845],[0.08398828051869883],[-0.008148029248346778],0.1265873312950134,2.9255900382995605,2.9255900382995605,False,False
